TAHUN;BULAN;RUTE;KODE;JENIS BANGUNAN;JML. SR;KATEGORI GOLONGAN;KONSUMSI (M3)
2022;JANUARI;RUTE: A101;13;RUMAH IBADAH;2;Gol. I;291
2022;JANUARI;RUTE: A101;15;SEKOLAH NEGERI;2;Gol. III;53
2022;JANUARI;RUTE: A101;21;RUMAH TANGGA A;146;Gol. II;3275
2022;JANUARI;RUTE: A101;22;YAYASAN SOSIAL;1;Gol. I;0
2022;JANUARI;RUTE: A101;24;RUMAH TANGGA B;50;Gol. II;920
2022;JANUARI;RUTE: A101;25;RUMAH TANGGA C;3;Gol. II;533
2022;JANUARI;RUTE: A101;31;NIAGA KECIL;184;Gol. III;3486
2022;JANUARI;RUTE: A101;32;INSTANSI PEMERINTAH;14;Gol. III;1570
2022;JANUARI;RUTE: A101;33;NIAGA MENENGAH;3;Gol. III;220
2022;JANUARI;RUTE: A101;36;FIRE HYDRANT;3;Gol. I;66
2022;JANUARI;RUTE: A101;46;TNI / POLRI;1;Gol. III;2338
2022;JANUARI;RUTE: A102;13;RUMAH IBADAH;1;Gol. I;13
2022;JANUARI;RUTE: A102;21;RUMAH TANGGA A;192;Gol. II;3728
2022;JANUARI;RUTE: A102;22;YAYASAN SOSIAL;1;Gol. I;267
2022;JANUARI;RUTE: A102;23;RUMAH SAKIT PEMERINTAH;2;Gol. III;8618
2022;JANUARI;RUTE: A102;24;RUMAH TANGGA B;46;Gol. II;1168
2022;JANUARI;RUTE: A102;25;RUMAH TANGGA C;4;Gol. II;26
2022;JANUARI;RUTE: A102;31;NIAGA KECIL;29;Gol. III;640
2022;JANUARI;RUTE: A102;32;INSTANSI PEMERINTAH;3;Gol. III;82
2022;JANUARI;RUTE: A103;13;RUMAH IBADAH;1;Gol. I;118
2022;JANUARI;RUTE: A103;21;RUMAH TANGGA A;242;Gol. II;3621
2022;JANUARI;RUTE: A103;24;RUMAH TANGGA B;13;Gol. II;232
2022;JANUARI;RUTE: A103;31;NIAGA KECIL;1;Gol. III;0
2022;JANUARI;RUTE: A103;32;INSTANSI PEMERINTAH;2;Gol. III;339
2022;JANUARI;RUTE: A104;13;RUMAH IBADAH;4;Gol. I;329
2022;JANUARI;RUTE: A104;15;SEKOLAH NEGERI;1;Gol. III;56
2022;JANUARI;RUTE: A104;21;RUMAH TANGGA A;493;Gol. II;8839
2022;JANUARI;RUTE: A104;22;YAYASAN SOSIAL;3;Gol. I;112
2022;JANUARI;RUTE: A104;24;RUMAH TANGGA B;340;Gol. II;6067
2022;JANUARI;RUTE: A104;25;RUMAH TANGGA C;33;Gol. II;1443
2022;JANUARI;RUTE: A104;26;RUMAH TANGGA D;6;Gol. II;152
2022;JANUARI;RUTE: A104;31;NIAGA KECIL;16;Gol. III;290
2022;JANUARI;RUTE: A104;32;INSTANSI PEMERINTAH;4;Gol. III;2937
2022;JANUARI;RUTE: A104;33;NIAGA MENENGAH;1;Gol. III;362
2022;JANUARI;RUTE: A105;13;RUMAH IBADAH;2;Gol. I;99
2022;JANUARI;RUTE: A105;21;RUMAH TANGGA A;169;Gol. II;2829
2022;JANUARI;RUTE: A105;24;RUMAH TANGGA B;65;Gol. II;1519
