Tanggal,Forecast,RUTE
2025-01-01,1093.3540949509413,A154
2025-02-01,1172.8471632834921,A154
2025-03-01,1181.3675042874083,A154
2025-04-01,1264.6228087643055,A154
2025-05-01,1162.146135571833,A154
2025-06-01,1143.2948528160725,A154
2025-07-01,1190.6400964206189,A154
2025-08-01,1242.7055353907435,A154
2025-09-01,1184.5460239649835,A154
2025-10-01,1143.8001217329017,A154
2025-11-01,1184.5878492650816,A154
2025-12-01,1232.0036903843243,A154
2026-01-01,1195.4122427138777,A154
2026-02-01,1150.5411092452077,A154
2026-03-01,1178.050613906035,A154
2026-04-01,1223.2819495628844,A154
2026-05-01,1201.7780170960757,A154
2026-06-01,1158.4105722045674,A154
2026-07-01,1173.517786570087,A154
2026-08-01,1215.2171305220472,A154
2026-09-01,1205.3742079135718,A154
2026-10-01,1166.0495207021193,A154
2026-11-01,1171.0799681136662,A154
2026-12-01,1207.863679690448,A154
